user,updated_at,created_at,closed_at,issue_title,issue_number
zjffun,2020-04-04T07:31:24Z,2020-04-03T17:12:17Z,,doc: Should `runMain()` and `globalPaths` of module add in doc?,32643
rickyes,2020-04-07T06:33:22Z,2020-04-03T12:32:31Z,,fs: Use constant kWriteFileMaxChunkSize,32640
dericop,2020-04-05T16:12:17Z,2020-04-03T02:56:39Z,,test: test-async-wrap-constructor refactor-for-to-foreach,32631
richardlau,2020-04-03T14:08:46Z,2020-04-03T01:42:10Z,,test: run test-abort-aliased-buffer-overflow,32626
addaleax,2020-04-03T16:59:43Z,2020-04-02T20:27:12Z,,Nominating @juanarbol as a collaborator,32621
marcofranssen,2020-04-09T14:44:56Z,2020-04-02T08:17:36Z,,"export * from 'dependency' not working when { ""type"": ""module"" }",32613
lingsamuel,2020-04-08T02:47:24Z,2020-04-02T06:22:55Z,,esm: resolve main from package.json when importing from directory,32612
jasnell,2020-04-07T14:39:10Z,2020-04-02T00:13:27Z,,workers: implement --max-worker-threads command line option,32606
coreyfarrell,2020-04-01T23:21:01Z,2020-04-01T22:03:46Z,,Incorrect backtrace location for argument spread of non-iterable value,32604
sam-github,2020-04-03T10:21:46Z,2020-04-01T18:27:03Z,,[v10.x] Openssl 1.1.1f,32601
bnoordhuis,2020-04-01T13:16:35Z,2020-04-01T13:16:24Z,,tls: out of memory on large write,32598
HarshithaKP,2020-04-11T11:44:16Z,2020-04-01T07:17:20Z,2020-04-16T15:08:46Z,test: skip test-worker-prof in debug builds,32596
haqer1,2020-04-04T09:57:26Z,2020-04-01T04:28:35Z,,doc: make README(.md) more informative by indicating that a GPG key u…,32591
yashLadha,2020-04-01T21:19:34Z,2020-03-31T15:32:13Z,,lib: use map for worker mapping in cluster,32584
richard-townsend-arm,2020-04-06T23:43:18Z,2020-03-31T12:24:01Z,,Adding cross-compilation support for Windows on Arm,32582
haqer1,2020-04-01T21:19:38Z,2020-03-30T12:53:30Z,,"doc: ensure that GPG key used to sign the latest LTS release (12.6.1), as well as 13.12.0, & 8.16.0 ",32565
mnn,2020-03-30T12:49:23Z,2020-03-30T10:05:22Z,,TZ environment variable is being ignored for most time zones,32564
haqer1,2020-03-30T07:44:59Z,2020-03-30T07:44:03Z,,"Consider adding some scripting, etc. to make sure that the key used to sign a release is listed in README.md",32561
haqer1,2020-04-01T21:19:39Z,2020-03-30T06:47:54Z,,"doc: ensure that GPG key used to sign the latest LTS release (12.6.1), as well as 13.12.0, & 8.16.0 is mentioned in README(.md) (#32559)",32560
haqer1,2020-04-04T10:23:34Z,2020-03-30T06:46:13Z,,"Either ensure that specific GPG keys used to sign releases are mentioned in README(.md) or indicate that the key could be a sub-key of a key listed (which itself isn't listed), with a sentence or 2 to minimize the time spent on sub-key aspect, if applicable",32559
nschonni,2020-04-01T21:19:39Z,2020-03-29T22:40:46Z,,build: split GitHub Actions linters,32557
